id,Age,Gender,Education Level,Job Title,Years of Experience,job_title_descriptions,Seniority,Category
280,31.0,Male,Bachelor's,Junior Operations Analyst,3.0,"['junior', 'operations', 'analyst']",Junior,Finance
281,41.0,Female,Bachelor's,Senior Project Coordinator,11.0,"['senior', 'project', 'coordinator']",Mid,Operations
282,47.0,Male,Master's,Director of Marketing,19.0,"['director', 'marketing']",Director,Marketing
283,29.0,Female,Bachelor's,Junior Business Development Associate,1.5,"['junior', 'business', 'development', 'associate']",Mid,Sales
284,35.0,Male,Bachelor's,Senior Financial Manager,9.0,"['senior', 'financial', 'manager']",Manager,Finance
285,44.0,Female,PhD,Senior Product Designer,15.0,"['senior', 'product', 'designer']",Senior,Design
286,33.0,Male,Bachelor's,Junior Business Analyst,4.0,"['junior', 'business', 'analyst']",Junior,Finance
287,,Female,Bachelor's,Senior Marketing Analyst,8.0,"['senior', 'marketing', 'analyst']",Senior,Finance
288,44.0,Male,Bachelor's,Senior Software Engineer,13.0,"['senior', 'software', 'engineer']",Senior,Engineering
289,32.0,Male,Bachelor's,Junior Product Manager,4.0,"['junior', 'product', 'manager']",Manager,Other
290,38.0,Female,Bachelor's,Senior Business Analyst,10.0,"['senior', 'business', 'analyst']",Senior,Finance
291,49.0,Male,PhD,Director of Operations,21.0,"['director', 'operations']",Director,Operations
292,29.0,Female,Bachelor's,Junior Marketing Specialist,2.0,"['junior', 'marketing', 'specialist']",Mid,Marketing
293,35.0,Male,Bachelor's,Senior Business Development Manager,7.0,"['senior', 'business', 'development', 'manager']",Manager,Sales
294,45.0,Female,Master's,Senior HR Manager,14.0,"['senior', 'hr', 'manager']",Manager,HR
295,33.0,Male,Bachelor's,Junior Financial Analyst,4.0,"['junior', 'financial', 'analyst']",Junior,Finance
296,40.0,Female,Bachelor's,Senior Marketing Manager,12.0,"['senior', 'marketing', 'manager']",Manager,Marketing
297,44.0,Male,PhD,Senior Data Scientist,16.0,"['senior', 'data', 'scientist']",Senior,Engineering
298,30.0,Female,Bachelor's,Junior Operations Coordinator,2.0,"['junior', 'operations', 'coordinator']",Mid,Operations
299,37.0,Male,Bachelor's,Senior Marketing Analyst,9.0,"['senior', 'marketing', 'analyst']",Senior,Finance
300,48.0,Female,Master's,Director of HR,20.0,"['director', 'hr']",Director,HR
301,31.0,Male,Bachelor's,Junior Project Manager,3.0,"['junior', 'project', 'manager']",Manager,Operations
302,38.0,Female,Bachelor's,Senior Operations Coordinator,9.0,"['senior', 'operations', 'coordinator']",Mid,Operations
303,45.0,Male,PhD,Senior Data Engineer,16.0,"['senior', 'data', 'engineer']",Senior,Engineering
304,33.0,Female,Bachelor's,Junior Marketing Manager,5.0,"['junior', 'marketing', 'manager']",Manager,Marketing
305,36.0,Male,Bachelor's,Senior Business Analyst,8.0,"['senior', 'business', 'analyst']",Senior,Finance
306,49.0,Female,Master's,Director of Marketing,21.0,"['director', 'marketing']",Director,Marketing
307,31.0,Male,Bachelor's,Junior Operations Analyst,3.0,"['junior', 'operations', 'analyst']",Junior,Finance
308,42.0,Female,Bachelor's,Senior Project Manager,12.0,"['senior', 'project', 'manager']",Manager,Operations
309,47.0,Male,Master's,Director of Marketing,19.0,"['director', 'marketing']",Director,Marketing
310,29.0,Female,Bachelor's,Junior Business Development Associate,1.5,"['junior', 'business', 'development', 'associate']",Mid,Sales
311,35.0,Male,Bachelor's,Senior Financial Manager,9.0,"['senior', 'financial', 'manager']",Manager,Finance
312,44.0,Female,PhD,Senior Product Designer,15.0,"['senior', 'product', 'designer']",Senior,Design
313,33.0,Male,Bachelor's,Junior Business Analyst,4.0,"['junior', 'business', 'analyst']",Junior,Finance
314,35.0,Female,Bachelor's,Senior Marketing Analyst,8.0,"['senior', 'marketing', 'analyst']",Senior,Finance
315,,Male,Bachelor's,Senior Software Engineer,13.0,"['senior', 'software', 'engineer']",Senior,Engineering
316,34.0,Female,Master's,Senior Financial Advisor,6.0,"['senior', 'financial', 'advisor']",Senior,Finance
317,36.0,Male,Bachelor's,Senior Marketing Specialist,8.0,"['senior', 'marketing', 'specialist']",Mid,Marketing
318,30.0,Female,Bachelor's,Junior HR Coordinator,2.0,"['junior', 'hr', 'coordinator']",Mid,HR
319,37.0,Male,Bachelor's,Senior Business Development Manager,10.0,"['senior', 'business', 'development', 'manager']",Manager,Sales
320,45.0,Female,Master's,Senior Marketing Manager,16.0,"['senior', 'marketing', 'manager']",Manager,Marketing
321,32.0,Male,Bachelor's,Junior Financial Advisor,4.0,"['junior', 'financial', 'advisor']",Junior,Finance
322,39.0,Female,Bachelor's,Senior Project Manager,12.0,"['senior', 'project', 'manager']",Manager,Operations
323,47.0,Male,PhD,Director of Engineering,20.0,"['director', 'engineering']",Director,Other
324,29.0,Female,Bachelor's,Junior Marketing Analyst,2.0,"['junior', 'marketing', 'analyst']",Junior,Finance
325,36.0,Male,Bachelor's,Senior Operations Manager,9.0,"['senior', 'operations', 'manager']",Manager,Operations
326,43.0,Female,PhD,Senior Data Scientist,15.0,"['senior', 'data', 'scientist']",Senior,Engineering
327,32.0,Male,Bachelor's,Junior Marketing Coordinator,3.0,"['junior', 'marketing', 'coordinator']",Mid,Marketing
328,38.0,Female,Bachelor's,Senior Business Analyst,10.0,"['senior', 'business', 'analyst']",Senior,Finance
329,48.0,Male,Master's,Director of Marketing,21.0,"['director', 'marketing']",Director,Marketing
330,31.0,Female,Bachelor's,Junior Business Development Associate,3.0,"['junior', 'business', 'development', 'associate']",Mid,Sales
331,40.0,Male,Bachelor's,Senior Financial Analyst,12.0,"['senior', 'financial', 'analyst']",Senior,Finance
332,45.0,Female,PhD,,16.0,[],Other,Other
333,33.0,Male,Bachelor's,Junior Product Manager,4.0,"['junior', 'product', 'manager']",Manager,Other
334,36.0,Female,Bachelor's,Senior Marketing Manager,8.0,"['senior', 'marketing', 'manager']",Manager,Marketing
335,47.0,Male,Master's,Director of Operations,19.0,"['director', 'operations']",Director,Operations
336,29.0,Female,Bachelor's,Junior Project Manager,2.0,"['junior', 'project', 'manager']",Manager,Operations
337,34.0,Male,Bachelor's,Senior Operations Coordinator,7.0,"['senior', 'operations', 'coordinator']",Mid,Operations
338,44.0,Female,PhD,Senior Business Analyst,15.0,"['senior', 'business', 'analyst']",Senior,Finance
339,33.0,Male,Bachelor's,Junior Marketing Specialist,5.0,"['junior', 'marketing', 'specialist']",Mid,Marketing
340,35.0,Female,Bachelor's,Senior Financial Manager,8.0,"['senior', 'financial', 'manager']",Manager,Finance
341,43.0,Male,Master's,Director of Marketing,18.0,"['director', 'marketing']",Director,Marketing
342,31.0,Female,Bachelor's,Junior Financial Analyst,3.0,"['junior', 'financial', 'analyst']",Junior,Finance
343,41.0,Male,Bachelor's,Senior Product Manager,14.0,"['senior', 'product', 'manager']",Manager,Other
344,44.0,Female,PhD,Senior Data Engineer,16.0,"['senior', 'data', 'engineer']",Senior,Engineering
345,33.0,Male,Bachelor's,Junior Business Analyst,4.0,"['junior', 'business', 'analyst']",Junior,Finance
346,35.0,Female,Bachelor's,Senior Marketing Analyst,8.0,"['senior', 'marketing', 'analyst']",Senior,Finance
347,45.0,Male,Master's,Director of Engineering,19.0,"['director', 'engineering']",Director,Other
348,28.0,Female,Bachelor's,Junior Operations Manager,1.0,"['junior', 'operations', 'manager']",Manager,Operations
349,36.0,Male,Bachelor's,Senior Business Development Manager,8.0,"['senior', 'business', 'development', 'manager']",Manager,Sales
350,44.0,Female,PhD,Senior Data Scientist,16.0,"['senior', 'data', 'scientist']",Senior,Engineering
351,31.0,Male,Bachelor's,Junior Marketing Coordinator,3.0,"['junior', 'marketing', 'coordinator']",Mid,Marketing
352,38.0,Female,Bachelor's,Senior Business Analyst,10.0,"['senior', 'business', 'analyst']",Senior,Finance
353,48.0,Male,Master's,Director of Marketing,21.0,"['director', 'marketing']",Director,Marketing
354,31.0,Female,Bachelor's,Junior Business Development Associate,3.0,"['junior', 'business', 'development', 'associate']",Mid,Sales
355,40.0,Male,Bachelor's,Senior Financial Analyst,12.0,"['senior', 'financial', 'analyst']",Senior,Finance
356,45.0,Female,PhD,Senior UX Designer,16.0,"['senior', 'ux', 'designer']",Senior,Design
357,33.0,Male,Bachelor's,Junior Product Manager,4.0,"['junior', 'product', 'manager']",Manager,Other
358,36.0,Female,Bachelor's,Senior Marketing Manager,8.0,"['senior', 'marketing', 'manager']",Manager,Marketing
359,47.0,Male,Master's,Director of Operations,19.0,"['director', 'operations']",Director,Operations
360,29.0,Female,Bachelor's,Junior Project Manager,2.0,"['junior', 'project', 'manager']",Manager,Operations
361,34.0,Male,Bachelor's,Senior Operations Coordinator,7.0,"['senior', 'operations', 'coordinator']",Mid,Operations
362,44.0,Female,PhD,Senior Business Analyst,15.0,"['senior', 'business', 'analyst']",Senior,Finance
363,33.0,Male,Bachelor's,Junior Marketing Specialist,5.0,"['junior', 'marketing', 'specialist']",Mid,Marketing
364,35.0,Female,Bachelor's,Senior Financial Manager,8.0,"['senior', 'financial', 'manager']",Manager,Finance
365,43.0,Male,Master's,Director of Marketing,18.0,"['director', 'marketing']",Director,Marketing
366,31.0,Female,,Junior Financial Analyst,3.0,"['junior', 'financial', 'analyst']",Junior,Finance
367,41.0,Male,Bachelor's,Senior Product Manager,14.0,"['senior', 'product', 'manager']",Manager,Other
368,44.0,Female,PhD,Senior Data Engineer,16.0,"['senior', 'data', 'engineer']",Senior,Engineering
369,33.0,Male,Bachelor's,Junior Business Analyst,4.0,"['junior', 'business', 'analyst']",Junior,Finance
370,35.0,Female,Bachelor's,Senior Marketing Analyst,8.0,"['senior', 'marketing', 'analyst']",Senior,Finance
371,43.0,Male,Master's,Director of Operations,19.0,"['director', 'operations']",Director,Operations
372,29.0,Female,Bachelor's,Junior Project Manager,2.0,"['junior', 'project', 'manager']",Manager,Operations
373,34.0,Male,Bachelor's,Senior Operations Coordinator,7.0,"['senior', 'operations', 'coordinator']",Mid,Operations
374,44.0,Female,PhD,Senior Business Analyst,15.0,"['senior', 'business', 'analyst']",Senior,Finance
